0.2331	2.3385	0.5338	1
1.5207	2.1946	0.8514	1
0.6499	1.673	1.0831	1
0.7757	1.6365	0.4164	1
1.0524	1.7844	1.1176	1
1.1974	2.0155	0.5536	1
0.2908	2.0681	0.6071	1
0.2518	2.1213	0.4439	1
0.6682	2.4797	0.4928	1
0.5622	1.5118	0.5901	1
0.9023	1.9692	1.0927	1
0.1333	1.834	1.0756	1
-0.5431	1.8704	1.0072	1
0.9407	2.2948	0.4272	1
-0.2126	1.7714	0.4353	1
0.0507	2.3939	0.9869	1
-0.081	1.5648	0.4841	1
0.7315	1.9329	1.0992	1
0.3345	2.2027	1.0299	1
1.065	2.4568	0.7127	1
-0.0247	1.7523	1.0124	1
0.1043	1.6991	0.4576	1
0.3122	2.4883	0.8544	1
0.6655	1.7259	1.1275	1
0.5838	2.0466	0.7705	1
1.1653	2.0226	0.4129	1
1.2653	2.3757	1.0085	1
0.8137	1.7987	0.7676	1
-0.3399	2.0828	0.8418	1
0.5152	2.0798	0.8784	1
0.7226	1.9449	0.9751	1
-0.2015	2.3801	0.784	1
0.407	2.2373	0.4158	1
-0.1717	2.1614	1.0315	1
-1.0573	1.9235	0.7533	1
-0.2099	2.2604	0.9548	1
1.401	1.0298	0.621	2
1.2301	0.9611	1.3656	2
2.0814	0.9154	0.5498	2
1.1655	1.4901	0.6708	2
1.374	0.82	0.8932	2
1.1829	0.9399	1.4342	2
1.7632	1.1405	0.9508	2
1.9739	1.0678	0.7324	2
2.4152	0.805	0.5784	2
2.589	1.2889	1.4943	2
2.8472	1.4601	1.0915	2
1.9539	1.4334	0.7644	2
1.25	0.7091	1.2159	2
1.2864	1.2942	1.3049	2
1.2614	1.3744	1.1408	2
2.0071	0.9387	0.9398	2
2.1831	1.2266	0.6197	2
1.7909	1.1833	0.6603	2
1.3322	0.8798	1.3928	2
1.1466	0.5592	1.4084	2
1.7087	0.515	0.6909	2
1.592	0.9983	0.84	2
2.9353	0.912	0.5381	2
1.4664	0.7126	1.3729	2
2.9313	1.2833	0.7731	2
1.8349	1.1029	0.7319	2
1.834	1.268	1.3439	2
2.5096	0.714	0.8142	2
2.7198	1.2446	0.9586	2
2.3148	1.3392	0.7379	2
2.0353	1.1808	0.7548	2
2.603	0.5503	0.7393	2
1.2327	1.4708	0.6739	2
2.1465	1.1435	0.8651	2
1.5673	0.7679	1.3699	2
2.9414	1.1288	1.1458	2
